scanner,image,hits,misses,detection_hit_ratio,tp_labels,fp_labels,tp_detected,fp_detected,fn_missed,unlabeled_predicted,predicted_total
clair,docker.io+anchore+test_images@sha256_b2b58a55c0b03c1626d2aaae2add9832208b02124dda7b7b41811e14f0fb272c,0,0,0.0,0,345,0,0,0,0,0
clair,docker.io+anchore+test_images@sha256_b3534fc2e37943136d5b54e3a58b55d4ccd4363d926cf7aa5bf55a524cf8275b,0,50,0.0,50,391,0,0,50,0,0
clair,docker.io+anchore+test_images@sha256_ba42ded8613fc643d407a050faf5ab48cfb405ad3ef2015bf6feeb5dff44738d,16,3,0.8421052631578947,19,19,16,10,3,4,20
clair,docker.io+anchore+test_images@sha256_c27b02c6322180fd8a7a3097d2b430bfdf9ea52ecf136edf258458e82f2c6f21,24,262,0.08391608391608392,286,18,24,12,262,0,24
clair,docker.io+anchore+test_images@sha256_c8d664b0e728d52f57eeb98ed1899c16d3b265f02ddfb41303d7a16c31e0b0f1,0,16,0.0,16,14,0,0,16,0,0
clair,docker.io+anchore+test_images@sha256_cf742eca189b02902a0a7926ac3fbb423e799937bf4358b0d2acc6cc36ab82aa,0,175,0.0,175,78,0,0,175,0,0
clair,docker.io+anchore+test_images@sha256_d1819e59e89e8ea90073460acb4ebb2ee18ccead9fa880dae91e8fc61b19ca1c,16,8,0.6666666666666666,24,14,16,11,8,15,31
clair,docker.io+anchore+test_images@sha256_e25a9a175433c2bfe9c04e6482e6c5eca0491629144c78061763f7f604fdea80,0,27,0.0,27,0,0,0,27,0,0
clair,docker.io+anchore+test_images@sha256_f56164678054e5eb59ab838367373a49df723b324617b1ba6de775749d7f91d4,0,15,0.0,15,760,0,0,15,0,0
clair,docker.io+anchore+test_images@sha256_f8e72da9f67caf90714926e7b21f0da93ca1e528b37a97dffe71e2ec38872a8b,0,57,0.0,57,0,0,0,57,0,0
clair,docker.io+anchore+test_images@sha256_fe242a3a63699425317fba0a749253bceb700fb3d63e7a0f6497f53a587e38c5,17,1,0.9444444444444444,18,10,17,0,1,33,50
clair,docker.io+centos@sha256_3688aa867eb84332460e172b9250c9c198fdfd8d987605fd53f246f498c60bcf,0,652,0.0,652,10,0,0,652,0,0
